Q1_Age,Q2_Gender,Q3_Residential_Status,Q4_Emirate,Q5_Employment_Status,Q6_Monthly_Income_AED,Q7_Education_Level,Q8_Marital_Status,Q9_Household_Size,Q10_Have_Children,Q11_Play_Video_Games,Q12_Gaming_Platforms,Q13_Game_Types_Preferred,Q14_Gaming_Frequency,Q15_Hours_Per_Week,Q16_Primary_Gaming_Location,Q17_Gaming_Cafe_Visits_Past_12mo,Q18_Typical_Spend_Per_Visit_AED,Q19_Gaming_Companions,Q20_Gaming_Motivations,Q21_Social_Aspect_Importance,Q22_Leisure_Activity_Frequency,Q23_Leisure_Venues_Visited,Q24_Preferred_Visit_Time,Q25_Preferred_Visit_Duration,Q26_Food_Quality_Importance,Q27_Food_Service_Preference,Q28_Italian_Food_Preferences,Q29_Chinese_Food_Preferences,Q30_Beverage_Preferences,Q31_Snack_Preferences,Q32_FB_Spending_Per_Session_AED,Q33_Pricing_Model_Preference,Q34_WTP_Standard_Setup_AED_Per_Hour,Q35_WTP_Premium_Setup_AED_Per_Hour,Q36_Monthly_Membership_WTP_AED,Q37_Total_WTP_Per_Visit_AED,Q38_Price_Sensitivity,Q39_WTP_Premium_For_Fusion,Q40_Feature_Importance_Top5,Q41_Private_Room_Interest,Q42_Special_Services_Interest,Q43_Loyalty_Program_Interest,Q44_Location_Factors_Top3,Q45_Interest_In_Concept,Q46_Primary_Reason_For_Interest,Q47_Expected_Visit_Frequency,Q48_Would_Recommend,Q49_Biggest_Attraction,Q50_Concerns_Hesitations,Q51_Competitive_Advantage,Q52_Additional_Suggestions
Under 18,Male,Expat (Working Professional),Abu Dhabi,Self-employed/Entrepreneur,"35,001 - 50,000",Master's degree,Single,1 (Live alone),No,"Yes, rarely (few times a year)",Tablet gaming,"Casual/Party games (Mario Kart, Fall Guys, Among Us)",2-3 times per month,2-5 hours,At home,Once,0-50,Strangers/Online community,Social interaction; Skill improvement; Story and narrative,Moderately important,2-3 times per month,Shisha cafes; Sports/Fitness centers,Late night (9 PM - 2 AM); Morning (8 AM - 12 PM),Less than 1 hour,Not important - I'm only there for gaming,Self-service/Grab-and-go options,None of the above,Szechuan dishes (Spicy); Peking Duck,"Fresh juices; Specialty coffee drinks (Frappuccino, Latte); Tea (Regular/Specialty)",Nachos with dips,26-50 AED,"All-day pass (e.g., 150 AED unlimited gaming)",36-45 AED,76-90 AED,Less than 300 AED,201-300 AED,Somewhat price sensitive - I consider price but not the only factor,Maybe/Depends on quality,Knowledgeable and helpful staff; Affordable pricing; Comfortable seating and ergonomic setup; Quality food and beverage options; Tournament hosting and events,"Maybe, depends on pricing","Streaming setup for content creators; Tournament participation (cash prizes, trophies); Esports coaching/Training sessions",Somewhat likely,Close to my home/workplace; Near public transportation; Safe neighborhood,Moderately interested - I would try it out and visit occasionally,Not sure about the food concept,2-3 times per month,Probably yes,Quality food and dining experience,Food quality might not justify the price; Limited operating hours,Strong community and events,Have ladies-only hours
45-54,Female,Expat (Working Professional),Abu Dhabi,Full-time employed,"20,001 - 35,000",Bachelor's degree,Married,3-4,No,"Yes, rarely (few times a year)",Tablet gaming; Mobile gaming,"Casual/Party games (Mario Kart, Fall Guys, Among Us); Racing games (Gran Turismo, Forza)",Once a month or less,Less than 2 hours,At a friend's place,Once,51-100,Friends (in-person); Friends (online),Social interaction; Achievement/Progression; Escapism/Immersion,Very important,Once a week,Sports/Fitness centers; Board game cafes; Malls/Shopping centers,Weekends any time; Late night (9 PM - 2 AM),1-2 hours,Moderately important,Quick-service counter with delivery to gaming stations,Panna Cotta; Pepperoni Pizza; Margherita Pizza; Tiramisu; Garlic Bread,Orange Chicken; Hakka Noodles; Manchurian (Chicken/Vegetable); Szechuan dishes (Spicy),"Energy drinks (Red Bull, Monster); Soft drinks (Coca-Cola, Pepsi, Sprite); Sports drinks (Gatorade, Powerade)",Sandwiches/Wraps; Popcorn; Nachos with dips; French fries; Pretzels,51-75 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",26-35 AED,46-60 AED,Not interested in membership,201-300 AED,Somewhat price sensitive - I consider price but not the only factor,Probably yes,Private gaming rooms/VIP areas; Quality food and beverage options; Affordable pricing; Strategic location and accessibility; Streaming/Content creation facilities,"Yes, occasionally for special occasions",Ladies-only sessions; Gaming leagues and ladders,Not very likely,Safe neighborhood; Surrounded by other F&B options; Ample parking availability,Very interested - I would likely visit frequently,Love the social-first approach,Once a week,Probably yes,Quality food and dining experience,Prefer gaming at home; Location might not be convenient,Convenient location,Host regular tournaments
35-44,Female,Expat (Working Professional),Dubai,Full-time employed,"20,001 - 35,000",Bachelor's degree,Married,2,"Yes, under 12 years old","No, and not interested",None,None,Once a month or less,Less than 2 hours,At home,Once,0-50,None,None,Moderately important,Once a week,"Libraries/Co-working spaces; Shisha cafes; Restaurants; Regular cafes (Starbucks, Costa, local cafes); Malls/Shopping centers",Would not visit,2-3 hours,Extremely important - food quality is a deciding factor,Mix of quick bites and proper meals,Panna Cotta; Risotto; Bruschetta; Meat Lovers Pizza; Garlic Bread; Gelato,Fried Rice (Chicken/Beef/Vegetable/Shrimp); Szechuan dishes (Spicy); Sweet and Sour Chicken; Dim Sum; Wontons; Chow Mein; Hakka Noodles; Manchurian (Chicken/Vegetable); Spring Rolls,"Milkshakes; Tea (Regular/Specialty); Soft drinks (Coca-Cola, Pepsi, Sprite); Energy drinks (Red Bull, Monster)",Popcorn; Chips/Crisps; Pretzels; Sandwiches/Wraps; Candy/Chocolate,76-100 AED,"Pay per hour (e.g., 30-50 AED/hour)",36-45 AED,46-60 AED,Not interested in membership,151-200 AED,Somewhat price sensitive - I consider price but not the only factor,Probably not,"Variety of gaming platforms (PC, PS5, Xbox, Switch); Knowledgeable and helpful staff; Social atmosphere and community; Tournament hosting and events; High-end gaming hardware (latest GPUs, processors)","Yes, definitely - I'd use this regularly",Board game library; Retro arcade section; Gaming leagues and ladders; Corporate team-building events; Birthday party packages,Somewhat likely,In a mall or entertainment complex; Surrounded by other F&B options; Ample parking availability,Slightly interested - I might visit once to check it out,Not interested in gaming cafes generally,Once every few months,Maybe,Quality food and dining experience,Food quality might not justify the price; Might be too crowded/noisy,Convenient location,Partner with gaming brands
18-24,Male,Expat (Student),Dubai,Student,"5,000 - 10,000",Bachelor's degree,Single,2,No,"Yes, occasionally (few times a month)",Nintendo Switch; PlayStation (PS4/PS5),"Fighting games (Street Fighter, Mortal Kombat, Tekken); Battle Royale (Fortnite, PUBG, Apex Legends); Retro/Classic arcade games; Simulation games (The Sims, Cities Skylines)",2-3 times per month,Less than 2 hours,At home,2-5 times,0-50,Alone; Friends (in-person); Friends (online),Achievement/Progression; Entertainment/Fun; Stress relief/Relaxation,Very important,Multiple times per week,Restaurants; Board game cafes; Malls/Shopping centers; Bowling alleys/Entertainment centers; Libraries/Co-working spaces,Weekends any time,1-2 hours,Moderately important,Quick-service counter with delivery to gaming stations,"Margherita Pizza; Pepperoni Pizza; Panna Cotta; Pasta Arrabiata; Pasta Carbonara; Garlic Bread; Italian Coffee (Espresso, Cappuccino)",Sweet and Sour Chicken; Chow Mein; Stir-fried Vegetables,"Specialty coffee drinks (Frappuccino, Latte); Water; Smoothies; Coffee (Hot/Iced)",Nachos with dips; Nuts/Trail mix; Cookies/Brownies; Sandwiches/Wraps,26-50 AED,"All-day pass (e.g., 150 AED unlimited gaming)",15-25 AED,46-60 AED,300-500 AED,101-150 AED,Somewhat price sensitive - I consider price but not the only factor,Probably yes,"Social atmosphere and community; High-end gaming hardware (latest GPUs, processors); Tournament hosting and events; Variety of gaming platforms (PC, PS5, Xbox, Switch); Comfortable seating and ergonomic setup","Maybe, depends on pricing","Tournament participation (cash prizes, trophies); Retro arcade section; Ladies-only sessions",Somewhat likely,Near public transportation; In a mall or entertainment complex; Ample parking availability,Moderately interested - I would try it out and visit occasionally,Location needs to be convenient,Once a week,Maybe,High-end gaming equipment,Limited operating hours,Convenient location,Faster internet is crucial
18-24,Female,Expat (Working Professional),Dubai,Full-time employed,"35,001 - 50,000",Bachelor's degree,Single,2,No,"Yes, occasionally (few times a month)",Nintendo Switch,"VR games; Fighting games (Street Fighter, Mortal Kombat, Tekken); First-person shooters (Call of Duty, Valorant, CS:GO); Strategy games (League of Legends, Dota 2, StarCraft)",2-3 times per week,2-5 hours,At a friend's place,Never,Haven't visited,Alone,Achievement/Progression; Competition and winning; Social interaction,Not important at all - I prefer solo gaming,Once a month,Shisha cafes; Sports/Fitness centers; Board game cafes,Weekends any time; Late night (9 PM - 2 AM),1-2 hours,Moderately important,Self-service/Grab-and-go options,Lasagna; Caprese Salad; Pasta Alfredo; Tiramisu,Noodle Soup; Chow Mein; Sweet and Sour Chicken; Szechuan dishes (Spicy); Hot and Sour Soup,"Bubble tea; Energy drinks (Red Bull, Monster); Smoothies",Pretzels; Popcorn; Nuts/Trail mix,51-75 AED,Monthly membership (unlimited access),26-35 AED,76-90 AED,300-500 AED,151-200 AED,Somewhat price sensitive - I consider price but not the only factor,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Streaming/Content creation facilities; Knowledgeable and helpful staff; Variety of gaming platforms (PC, PS5, Xbox, Switch); Extended operating hours (24/7 or late night)","No, I prefer open gaming areas",Birthday party packages; Retro arcade section,Not at all likely,Ample parking availability; Near public transportation; Safe neighborhood,Very interested - I would likely visit frequently,Combination of high-end gaming and quality food is unique,2-3 times per month,Definitely yes,High-end gaming equipment,Pricing might be too high; Limited operating hours,All-in-one entertainment destination,None
18-24,Female,Expat (Working Professional),Ajman,Student,"5,000 - 10,000",High school or below,Single,3-4,No,"Yes, rarely (few times a year)",Mobile gaming,"RPG/Adventure (Elden Ring, Zelda, Final Fantasy)",Once a month or less,Less than 2 hours,Multiple locations,6-10 times,0-50,Friends (in-person),Stress relief/Relaxation; Social interaction; Story and narrative,Very important,Once a week,"Regular cafes (Starbucks, Costa, local cafes); Shisha cafes; Bowling alleys/Entertainment centers",Late night (9 PM - 2 AM); Afternoon (12 PM - 5 PM); Evening (5 PM - 9 PM),1-2 hours,Extremely important - food quality is a deciding factor,Mix of quick bites and proper meals,"Pasta Bolognese; Risotto; Margherita Pizza; Meat Lovers Pizza; Garlic Bread; Lasagna; Italian Coffee (Espresso, Cappuccino)",Dim Sum; Szechuan dishes (Spicy); Spring Rolls; Manchurian (Chicken/Vegetable),Tea (Regular/Specialty); Bubble tea; Water,Popcorn; Chips/Crisps; Nachos with dips; French fries,26-50 AED,Monthly membership (unlimited access),26-35 AED,46-60 AED,300-500 AED,50-100 AED,Very price sensitive - I look for best deals and discounts,Probably not,Social atmosphere and community; Quality food and beverage options; Tournament hosting and events; Fast and stable internet connection; Knowledgeable and helpful staff,"Yes, occasionally for special occasions",Esports coaching/Training sessions; Birthday party packages; Board game library,Somewhat likely,Near public transportation; Surrounded by other F&B options; Safe neighborhood,Very interested - I would likely visit frequently,The multi-generational concept appeals to me,Once a week,Definitely yes,Quality food and dining experience,Prefer gaming at home; Pricing might be too high,Premium experience worth the price,None
18-24,Male,UAE National,Dubai,Full-time employed,"35,001 - 50,000",Master's degree,Single,3-4,No,"Yes, regularly (at least once a week)",Xbox (One/Series X/S); PC/Laptop,"Racing games (Gran Turismo, Forza); Battle Royale (Fortnite, PUBG, Apex Legends); Casual/Party games (Mario Kart, Fall Guys, Among Us); VR games; Retro/Classic arcade games; Fighting games (Street Fighter, Mortal Kombat, Tekken)",2-3 times per week,2-5 hours,At a friend's place,Once,51-100,Friends (online); Strangers/Online community; Friends (in-person),Achievement/Progression; Entertainment/Fun; Skill improvement,Very important,2-3 times per month,"Restaurants; Regular cafes (Starbucks, Costa, local cafes); Sports/Fitness centers",Morning (8 AM - 12 PM),4+ hours,Very important,Mix of quick bites and proper meals,Meat Lovers Pizza; Risotto; Pepperoni Pizza; Pasta Bolognese; Garlic Bread,Spring Rolls; Kung Pao Chicken; Szechuan dishes (Spicy); Fried Rice (Chicken/Beef/Vegetable/Shrimp); Hakka Noodles; Orange Chicken,"Specialty coffee drinks (Frappuccino, Latte); Milkshakes; Soft drinks (Coca-Cola, Pepsi, Sprite); Energy drinks (Red Bull, Monster)",Candy/Chocolate; Popcorn; Nachos with dips; Pretzels; Fresh fruit; Chips/Crisps,76-100 AED,"All-day pass (e.g., 150 AED unlimited gaming)",26-35 AED,61-75 AED,300-500 AED,201-300 AED,Neutral - I balance price with experience quality,Probably yes,"High-end gaming hardware (latest GPUs, processors); Social atmosphere and community; Streaming/Content creation facilities; Knowledgeable and helpful staff; Tournament hosting and events","Yes, occasionally for special occasions","Streaming setup for content creators; Birthday party packages; Kids gaming hours; Ladies-only sessions; Tournament participation (cash prizes, trophies)",Somewhat likely,Ample parking availability; Near public transportation; Close to my home/workplace,Extremely interested - I would definitely visit regularly,Combination of high-end gaming and quality food is unique,Once a week,Definitely yes,High-end gaming equipment,No major concerns,Premium experience worth the price,Partner with gaming brands
25-34,Male,Expat (Working Professional),Abu Dhabi,Full-time employed,"20,001 - 35,000",Diploma/Certificate,Married,3-4,No,"Yes, occasionally (few times a month)",PlayStation (PS4/PS5); Nintendo Switch,"VR games; Board games (physical or digital); First-person shooters (Call of Duty, Valorant, CS:GO)",2-3 times per week,2-5 hours,Multiple locations,6-10 times,51-100,Romantic partner; Family members,Stress relief/Relaxation; Story and narrative; Escapism/Immersion,Moderately important,2-3 times per month,Libraries/Co-working spaces; Cinemas,Late night (9 PM - 2 AM); Evening (5 PM - 9 PM),2-3 hours,Very important,Mix of quick bites and proper meals,Vegetarian Pizza; Pasta Carbonara; Garlic Bread; Lasagna,Wontons; Dumplings/Momos (Steamed/Fried); Chow Mein; Manchurian (Chicken/Vegetable); Kung Pao Chicken,Bubble tea; Milkshakes,Burgers/Sliders; Pretzels; French fries; Nuts/Trail mix,101-150 AED,"Pay per hour (e.g., 30-50 AED/hour)",36-45 AED,46-60 AED,501-700 AED,151-200 AED,Neutral - I balance price with experience quality,Definitely yes,"Streaming/Content creation facilities; High-end gaming hardware (latest GPUs, processors); Variety of gaming platforms (PC, PS5, Xbox, Switch); Extended operating hours (24/7 or late night); Fast and stable internet connection","Yes, occasionally for special occasions",Kids gaming hours; Retro arcade section; Streaming setup for content creators,Somewhat likely,Near public transportation; Close to my home/workplace; Surrounded by other F&B options,Moderately interested - I would try it out and visit occasionally,Location needs to be convenient,2-3 times per month,Definitely yes,Quality food and dining experience,Location might not be convenient,More comfortable and clean environment,None
25-34,Female,Expat (Working Professional),Abu Dhabi,Full-time employed,"10,001 - 20,000",Diploma/Certificate,Married,3-4,No,"Yes, occasionally (few times a month)",Xbox (One/Series X/S),"First-person shooters (Call of Duty, Valorant, CS:GO); Fighting games (Street Fighter, Mortal Kombat, Tekken); Racing games (Gran Turismo, Forza)",2-3 times per month,2-5 hours,At home,2-5 times,0-50,Family members; Romantic partner,Stress relief/Relaxation; Achievement/Progression; Competition and winning,Very important,Once a week,Sports/Fitness centers; Gaming cafes/lounges; Bowling alleys/Entertainment centers; Shisha cafes; Malls/Shopping centers,Late night (9 PM - 2 AM); Weekends any time; Evening (5 PM - 9 PM),3-4 hours,Moderately important,Quick-service counter with delivery to gaming stations,Lasagna; Tiramisu; Vegetarian Pizza,Szechuan dishes (Spicy); Peking Duck; General Tso's Chicken,"Bubble tea; Soft drinks (Coca-Cola, Pepsi, Sprite); Tea (Regular/Specialty); Milkshakes",Chips/Crisps; Popcorn; Burgers/Sliders; Sandwiches/Wraps; French fries,51-75 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",15-25 AED,46-60 AED,Not interested in membership,50-100 AED,Very price sensitive - I look for best deals and discounts,Probably not,"Clean and well-maintained environment; Variety of gaming platforms (PC, PS5, Xbox, Switch); Private gaming rooms/VIP areas; Social atmosphere and community; Quality food and beverage options","Maybe, depends on pricing",Ladies-only sessions; Birthday party packages; Gaming leagues and ladders,Not very likely,Ample parking availability; In a mall or entertainment complex; Close to my home/workplace,Very interested - I would likely visit frequently,Location and convenience matter most,Once a week,Definitely yes,Combination of everything,Might be too crowded/noisy; Prefer gaming at home,Superior food quality,None
18-24,Female,Expat (Working Professional),Dubai,Full-time employed,"Above 50,000",Bachelor's degree,Single,1 (Live alone),No,"Yes, regularly (at least once a week)",Xbox (One/Series X/S); PlayStation (PS4/PS5); Mobile gaming,"Sports games (FIFA, NBA 2K, F1); Board games (physical or digital); Racing games (Gran Turismo, Forza); Battle Royale (Fortnite, PUBG, Apex Legends)",Daily,11-15 hours,At home,Never,Haven't visited,Friends (in-person); Romantic partner; Family members,Story and narrative; Stress relief/Relaxation; Escapism/Immersion,Extremely important - gaming is mainly social for me,Multiple times per week,Board game cafes; Shisha cafes; Restaurants; Malls/Shopping centers; Libraries/Co-working spaces; Sports/Fitness centers,Evening (5 PM - 9 PM); Weekends any time,2-3 hours,Extremely important - food quality is a deciding factor,Full restaurant-style menu with table service,"Italian Coffee (Espresso, Cappuccino); Bruschetta; Panna Cotta; Gelato; Pasta Alfredo; Tiramisu",Kung Pao Chicken; Szechuan dishes (Spicy); Stir-fried Vegetables; Hot and Sour Soup; Dumplings/Momos (Steamed/Fried),"Energy drinks (Red Bull, Monster); Smoothies; Specialty coffee drinks (Frappuccino, Latte); Milkshakes",Cookies/Brownies; French fries; Candy/Chocolate; Nachos with dips; Nuts/Trail mix,76-100 AED,Monthly membership (unlimited access),46-55 AED,76-90 AED,Above 1200 AED,301-400 AED,Not very price sensitive - I prioritize quality and experience,Maybe/Depends on quality,"High-end gaming hardware (latest GPUs, processors); Quality food and beverage options; Strategic location and accessibility; Social atmosphere and community; Knowledgeable and helpful staff","Maybe, depends on pricing","Board game library; Esports coaching/Training sessions; Ladies-only sessions; Tournament participation (cash prizes, trophies)",Not very likely,Near public transportation; Surrounded by other F&B options; Close to my home/workplace,Extremely interested - I would definitely visit regularly,The multi-generational concept appeals to me,Multiple times per week,Probably yes,Combination of everything,No major concerns,Premium experience worth the price,None
25-34,Male,Expat (Dependent),Dubai,Homemaker,"20,001 - 35,000",Bachelor's degree,Single,1 (Live alone),No,"Yes, regularly (at least once a week)",Xbox (One/Series X/S); PC/Laptop; Mobile gaming,"Simulation games (The Sims, Cities Skylines); Racing games (Gran Turismo, Forza); Board games (physical or digital); VR games; Retro/Classic arcade games",Daily,11-15 hours,At home,Once,0-50,Family members; Friends (in-person); Organized teams/Clans,Stress relief/Relaxation; Story and narrative; Escapism/Immersion,Very important,2-3 times per month,Bowling alleys/Entertainment centers; Sports/Fitness centers,Evening (5 PM - 9 PM); Morning (8 AM - 12 PM),3-4 hours,Very important,Mix of quick bites and proper meals,"Lasagna; Panna Cotta; Pasta Carbonara; Vegetarian Pizza; Bruschetta; Pasta Alfredo; Italian Coffee (Espresso, Cappuccino); Tiramisu",Noodle Soup; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Spring Rolls; Stir-fried Vegetables; Dumplings/Momos (Steamed/Fried); Manchurian (Chicken/Vegetable),"Smoothies; Fresh juices; Milkshakes; Energy drinks (Red Bull, Monster)",Chicken wings/tenders; Pretzels; Nuts/Trail mix; Chips/Crisps; Cookies/Brownies,51-75 AED,"Fixed session pricing (e.g., 80 AED for 2 hours)",26-35 AED,46-60 AED,501-700 AED,151-200 AED,Neutral - I balance price with experience quality,Probably yes,"High-end gaming hardware (latest GPUs, processors); Social atmosphere and community; Comfortable seating and ergonomic setup; Variety of gaming platforms (PC, PS5, Xbox, Switch); Quality food and beverage options","Maybe, depends on pricing","Esports coaching/Training sessions; Retro arcade section; Birthday party packages; Streaming setup for content creators; Tournament participation (cash prizes, trophies)",Not very likely,Near public transportation; Close to my home/workplace; Surrounded by other F&B options,Very interested - I would likely visit frequently,The multi-generational concept appeals to me,2-3 times per month,Definitely yes,Combination of everything,Location might not be convenient,Superior food quality,None
18-24,Male,Expat (Working Professional),Dubai,Full-time employed,"20,001 - 35,000",Bachelor's degree,Single,1 (Live alone),No,"Yes, rarely (few times a year)",Nintendo Switch; PC/Laptop,"Fighting games (Street Fighter, Mortal Kombat, Tekken); Sports games (FIFA, NBA 2K, F1)",Once a month or less,Less than 2 hours,At home,Once,101-150,Strangers/Online community,Competition and winning; Story and narrative; Skill improvement,Moderately important,Multiple times per week,"Gaming cafes/lounges; Libraries/Co-working spaces; Shisha cafes; Regular cafes (Starbucks, Costa, local cafes); Board game cafes; Sports/Fitness centers; Bowling alleys/Entertainment centers",Morning (8 AM - 12 PM); Weekends any time,1-2 hours,Very important,Quick-service counter with delivery to gaming stations,"Bruschetta; Pasta Bolognese; Pasta Arrabiata; Risotto; Pasta Alfredo; Italian Coffee (Espresso, Cappuccino)",Chow Mein; Sweet and Sour Chicken; Kung Pao Chicken; Wontons; Hot and Sour Soup; Noodle Soup; Spring Rolls,"Sports drinks (Gatorade, Powerade); Milkshakes; Water",Nachos with dips; Fresh fruit; Chips/Crisps; Popcorn; Candy/Chocolate,76-100 AED,Monthly membership (unlimited access),26-35 AED,46-60 AED,Not interested in membership,151-200 AED,Neutral - I balance price with experience quality,Probably yes,"Variety of gaming platforms (PC, PS5, Xbox, Switch); Comfortable seating and ergonomic setup; High-end gaming hardware (latest GPUs, processors); Quality food and beverage options; Knowledgeable and helpful staff","Yes, occasionally for special occasions",Esports coaching/Training sessions; Retro arcade section; Gaming leagues and ladders; Streaming setup for content creators,Very likely,Near public transportation; Ample parking availability; In a mall or entertainment complex,Moderately interested - I would try it out and visit occasionally,Finally a gaming cafe that's not just for hardcore gamers,2-3 times per month,Maybe,Quality food and dining experience,Might be too crowded/noisy; Prefer gaming at home,Better than gaming at home because of social aspect,None
18-24,Male,Expat (Working Professional),Abu Dhabi,Self-employed/Entrepreneur,"35,001 - 50,000",Bachelor's degree,Married,2,"Yes, 12-18 years old","Yes, rarely (few times a year)",Xbox (One/Series X/S),"Board games (physical or digital); First-person shooters (Call of Duty, Valorant, CS:GO)",Once a month or less,Less than 2 hours,At a friend's place,Never,Haven't visited,Romantic partner,Entertainment/Fun; Social interaction; Achievement/Progression,Very important,Multiple times per week,Cinemas; Gaming cafes/lounges; Board game cafes; Shisha cafes,Afternoon (12 PM - 5 PM); Evening (5 PM - 9 PM),Less than 1 hour,Very important,Full restaurant-style menu with table service,"Margherita Pizza; Pasta Carbonara; Bruschetta; Italian Coffee (Espresso, Cappuccino); Risotto; Garlic Bread; Panna Cotta",Wontons; Fried Rice (Chicken/Beef/Vegetable/Shrimp); Chow Mein; General Tso's Chicken; Spring Rolls,Tea (Regular/Specialty); Smoothies; Bubble tea,French fries,76-100 AED,"All-day pass (e.g., 150 AED unlimited gaming)",36-45 AED,76-90 AED,Not interested in membership,151-200 AED,Somewhat price sensitive - I consider price but not the only factor,Probably yes,Tournament hosting and events; Quality food and beverage options; Extended operating hours (24/7 or late night); Strategic location and accessibility; Comfortable seating and ergonomic setup,"Yes, occasionally for special occasions",VR gaming experiences; Retro arcade section; Ladies-only sessions,Somewhat likely,In a mall or entertainment complex; Surrounded by other F&B options; Close to my home/workplace,Very interested - I would likely visit frequently,Location and convenience matter most,Once a week,Definitely yes,Social environment and community,Not enough variety in games,Convenient location,None
